Name,DisplayName,Type,Alias,PrimarySMTPAddress
Hybrid & StudyInternational Staff,Hybrid & StudyInternational Staff,Distribution,HybridStudyInternationalStaff,HybridStudyInternationalStaff@hybrid.co
Hybrid All Staff,Hybrid All Staff,Distribution,HybridAllStaff,all@hybrid.co
Hybrid BITStaff,BITStaff,Distribution,BITStaff,BITStaff@hybrid.co
Hybrid Bristol Staff,Hybrid Bristol Staff,Distribution,HybridBristolStaff,bristol@hybrid.co
Hybrid Client Accounts,Hybrid Client Accounts,Distribution,HybridClientAccounts,clientaccounts@hybrid.co
Hybrid Digital,Hybrid Digital,Distribution,HybridDigital,digital@hybrid.co
Asian Correspondent Editor,Asian Correspondent Editor,Distribution,AsiancorrespondentEditor,editor@asiancorrespondent.com
Hybrid Editor,Hybrid Editor,Distribution,HybridEditor,editor@hybrid.co
Techhq Editor,Techhq Editor,Distribution,TechhqEditor,editor@techhq.com
Techwireasia Editor,Techwireasia Editor,Distribution,TechwireasiaEditor,editor@techwireasia.com
Travelwireasia Editor,Travelwireasia Editor,Distribution,TravelwireasiaEditor,editor@travelwireasia.com
U2B Editor,U2B Editor,Distribution,U2BEditor,editor@u2b.com
IThelp,IThelp,Distribution,IThelp,IThelp@hybrid.co
Hybrid KL Staff,Hybrid KL Staff,Distribution,HybridKLStaff,KL@hybrid.co
Hybrid Orders,Hybrid Orders,Distribution,HybridOrders,orders@hybrid.co
Hybrid Sydney Staff,Hybrid Sydney Staff,Distribution,HybridSydneyStaff,Sydney@hybrid.co
Hybrid Tech,Hybrid Tech,Distribution,HybridTech,Tech@hybrid.co
Hybrid UK Sales Staff,Hybrid UK Sales Staff,Distribution,HybridUKSalesStaff,uksales@hybrid.co
Study International UK Sales Staff,Studyinternational UK Sales Staff,Distribution,StudyinternationalUKSalesStaff,uksales@studyinternational.com
Study International Sydney Staff,Study International Sydney Staff,Distribution,StudyInternationalSydneyStaff,Sydney@studyinternational.com
Study International Editor,Studyinternational Editor,Distribution,StudyInternationalEditor,editor@studyinternational.com
Study International Bristol Staff,Study International Bristol Staff,Distribution,StudyInternationalBristolStaff,bristol@studyinternational.com
Study International All Staff,Study International All Staff,Distribution,StudyInternationalAllStaff,all@studyinternational.com
Study International BITStaff ,Study International BITStaff ,Distribution,StudyInternationalBITStaff ,BITStaff@studyinternational.com
